№ схемы/риска,Статус РСЗ,Тип,Дата изменения статуса РСЗ,"Потенциальный ущерб, руб",ИНН НП,"Инспектор, сменивший статус","Код НО инспектора, сменившего стат"
9420942,Новое,RISK_SHORT,2024-06-26 10:35:57,18764.955,159-zbe-eqgu-hrfwl,62607-lvsa-tpzqoh-nokaaysc,1655
9420944,Новое,RISK_SHORT,2024-06-26 10:35:57,33301.4124,822-fbz-bbhh-jphte,44078-sbda-atucqf-iqbijqbb,5018
9420945,Новое,RISK_SHORT,2024-06-26 10:35:58,43056.2196,574-vup-hhgj-cineb,72118-hqoy-uydqcb-wntslfnk,7724
9420946,Новое,RISK_SHORT,2024-06-26 10:35:58,157945.9086,248-vlp-dokt-izvvb,12327-thft-sbahcz-faeosplv,7728
9420948,Новое,RISK_SHORT,2024-06-26 10:35:58,22596.9384,327-smc-ltmh-ymnhv,28992-kuuv-kfxegs-ytgmaamh,7751
9420949,Новое,RISK_SHORT,2024-06-26 10:35:59,11481.2025,410-dox-diol-enntl,37178-axsu-cirpvr-lacnmrhj,2367
9420950,Новое,RISK_SHORT,2024-06-26 10:35:59,47559.8136,894-sco-kina-pfnvj,53071-hygn-alhzyq-htkhviut,2700
9420951,Новое,RISK_SHORT,2024-06-26 10:35:59,353585.1696,326-xzu-aqdk-xhqwx,96480-vshw-ntiewr-dzkakaar,1650
9420952,Новое,RISK_SHORT,2024-06-26 10:36:00,6880.9158,217-hpp-mbkl-rimil,95169-oovl-jqfmqi-swedxblr,5638
9420953,Новое,RISK_SHORT,2024-06-26 10:36:00,147675.0108,963-osf-lbzl-pihpd,53996-przz-gnjexu-cbpselzg,5032
9420954,Новое,RISK_SHORT,2024-06-26 10:36:00,44470.7688,802-ucs-jrsc-ysezx,76516-qhvg-rdkvqc-xlvxwlqs,3200
9420955,Новое,RISK_SHORT,2024-06-26 10:36:00,32279.5498,308-hdq-lfaa-jqgyk,29180-qhtd-hgctnv-rhayqnay,5948
9420957,Новое,RISK_SHORT,2024-06-26 10:36:01,36979.0392,664-cta-upus-tkdgc,40292-hamw-bjfubz-vopzkixw,7451
9420958,Новое,RISK_SHORT,2024-06-26 10:36:01,7514.3088,776-hlh-sbtw-dtbip,55122-dtqa-kajxys-yowmdbyh,2311
9420959,Новое,RISK_SHORT,2024-06-26 10:36:02,13278.8034,906-ndo-sqsm-epkkg,65871-ehtx-pwzgbx-hidazugw,7810
9420961,Новое,RISK_SHORT,2024-06-26 10:36:02,355034.7462,625-lkt-fvry-hnosj,28992-kuuv-kfxegs-ytgmaamh,7751
9420962,Новое,RISK_SHORT,2024-06-26 10:36:03,23690.8086,153-wds-atrf-yempk,80528-gaaw-ioomea-eeopvjbl,5003
9420963,Новое,RISK_SHORT,2024-06-26 10:36:03,52848.8478,405-cgm-jhes-hsyuu,99037-vlcm-xqrqyx-zyabjsai,5018
9420964,Новое,RISK_SHORT,2024-06-26 10:36:03,10042.1778,962-uke-lcni-pvosa,46474-qwsj-ttjnfm-rxbikvci,7726
9420966,Новое,RISK_SHORT,2024-06-26 10:36:04,19114.5408,326-fmg-xzyv-tpfzf,59497-wwud-mrfgtb-zlpgwsan,5040
9420968,Новое,RISK_SHORT,2024-06-26 10:36:06,90557.3874,757-yri-uslh-ylbrk,83918-ohux-itobiz-eukjmoyf,5610
9420971,Новое,RISK_SHORT,2024-06-26 10:36:07,29833.9604,839-ndi-cuoq-uiizf,12967-ucao-xklfrw-elyexatm,7300
9420972,Новое,RISK_SHORT,2024-06-26 10:36:08,21142.4784,273-ilv-uywl-bgfpl,57962-ukfm-ftwyec-gtddcnne,7723
9420973,Новое,RISK_SHORT,2024-06-26 10:36:08,2502227.1828,889-bvd-qmtn-fubzl,67560-ssdp-atdlkc-xfwsjbng,5027
9420974,Новое,RISK_SHORT,2024-06-26 10:36:08,203532.453,367-wfd-nrbj-okbzb,88866-etvu-cmzdhf-kvjhqyfx,2000
9420976,Новое,RISK_SHORT,2024-06-26 10:36:09,19275.2148,555-hxx-ozbn-yiiwx,60320-inzp-tsnchx-uqtcbjmv,3900
9420978,Новое,RISK_SHORT,2024-06-26 10:36:10,110060.0921,480-lqz-ccrf-xgdqm,34899-dhlg-axskwn-ecmjxfro,5902
9420979,Новое,RISK_SHORT,2024-06-26 10:36:10,42183.4164,481-hco-pdus-ufvqe,92965-bnkz-epfbsb-wsawsfpr,2000
9420983,Новое,RISK_SHORT,2024-06-26 10:36:11,45249.03,236-mrv-ctru-qknco,57986-cgim-xnumbe-vtdsdvyq,2308
9420984,Новое,RISK_SHORT,2024-06-26 10:36:11,67563.912,929-ppz-eowb-sxolo,91832-yelj-hhgmfr-rjpktian,2364
9420985,Новое,RISK_SHORT,2024-06-26 10:36:11,10632.5154,283-olo-ksgg-ndian,95433-jdup-jbdpuz-zuyifswd,5074
9420986,Новое,RISK_SHORT,2024-06-26 10:36:12,9726.3246,605-tes-yktw-blxcv,94500-znky-pjefus-flelwyfn,2366
9420987,Новое,RISK_SHORT,2024-06-26 10:36:12,178927.7556,566-qlh-ycxo-wzltc,39462-oxvd-tcigtp-jzcdvmsy,6900
9420989,Новое,RISK_SHORT,2024-06-26 10:36:13,15394.8528,679-iru-hkpg-wkzcj,94477-mink-uzsonp-qgmitpzp,5027
9420990,Новое,RISK_SHORT,2024-06-26 10:36:13,29827.1497,747-gjp-oxmm-qhrsp,12967-ucao-xklfrw-elyexatm,7300
9420991,Новое,RISK_SHORT,2024-06-26 10:36:14,166360.0854,880-kne-dodh-nwdez,36085-zisn-ozbikr-aopwkrtf,6195
9420995,Новое,RISK_SHORT,2024-06-26 10:36:15,16366.323,515-oyx-adqw-byhfz,17574-uoes-aayrdg-xgtpdtvn,6800
9420996,Новое,RISK_SHORT,2024-06-26 10:36:15,23450.0796,387-nab-hfwa-nqimh,49787-biok-uwjyjh-eudtowty,3900
9420997,Новое,RISK_SHORT,2024-06-26 10:36:15,6460.6758,525-gub-hwql-czogw,67560-ssdp-atdlkc-xfwsjbng,5027
9420998,Новое,RISK_SHORT,2024-06-26 10:36:16,15251.7474,622-ahk-hpuk-aaixd,17463-yysw-hogwcs-bbzjrjqk,7734
9420999,Новое,RISK_SHORT,2024-06-26 10:36:16,5025.087,289-vre-xosr-azjau,69222-fnqe-cdwnbr-sugaxthp,7751
9421000,Новое,RISK_SHORT,2024-06-26 10:36:16,15003.708,449-wvt-nauv-ethbl,35978-kadz-srcdao-zxjyferv,2646
9421001,Новое,RISK_SHORT,2024-06-26 10:36:17,136469.9412,969-kpb-vnpl-ixzfn,91212-fxcx-aqqkse-wzzmaovj,7720
9421002,Новое,RISK_SHORT,2024-06-26 10:36:17,5895.7451,928-cpk-tfyd-vdbkl,83106-nfaa-vzktti-pnorepvz,7729
9421003,Новое,RISK_SHORT,2024-06-26 10:36:17,10122.315,667-kgr-ietq-ohpjq,71955-btdg-abegau-bucunccf,9102
9421004,Новое,RISK_SHORT,2024-06-26 10:36:17,63399.2316,687-mrt-ztlx-gbkiy,92846-nqox-xlitfk-clytgyiq,7705
9421005,Новое,RISK_SHORT,2024-06-26 10:36:18,10171.6344,121-jcf-pizn-nmdki,84252-uque-zcvved-ceehgozp,7721
9421006,Новое,RISK_SHORT,2024-06-26 10:36:18,10094.43,638-cpi-dstl-vibgy,75950-yics-ddpnho-kieifxwl,7704
9421007,Новое,RISK_SHORT,2024-06-26 10:36:18,9890.0006,238-udt-zzyq-yceej,84725-ywzo-dwypzb-dkqyibvy,7727
9421009,Новое,RISK_SHORT,2024-06-26 10:36:19,29129.5122,346-acq-psof-vckyy,49260-whht-ckizzj-hysjcins,2361
9421010,Новое,RISK_SHORT,2024-06-26 10:36:19,29130.6792,111-xxa-fxmk-rdnin,41014-uawe-qjzgqx-uesdgeqx,2223
9421011,Новое,RISK_SHORT,2024-06-26 10:36:19,2265036.6345,874-pfk-ohnc-syqtc,74414-wtcq-hxvnba-tvkxjbcq,7733
9421012,Новое,RISK_SHORT,2024-06-26 10:36:20,331863.5394,698-tuo-nmdq-snpez,81926-durq-jeynbg-znmuvsru,7736
9421014,Новое,RISK_SHORT,2024-06-26 10:36:20,196039.2918,751-ruf-kqsi-tmyky,45427-ydut-gtswob-gmbvclpe,5024
9421015,Новое,RISK_SHORT,2024-06-26 10:36:20,17046.7158,302-kck-unqz-utlks,49466-jsjp-uprnjq-xooheaqe,2632
9421017,Новое,RISK_SHORT,2024-06-26 10:36:21,47461.8816,779-iaz-iybk-eescr,69222-fnqe-cdwnbr-sugaxthp,7751
9421018,Новое,RISK_SHORT,2024-06-26 10:36:21,11763.8894,924-myz-mwbc-ixaqm,43641-cjje-wjghqj-kocebmfc,2000
9421019,Новое,RISK_SHORT,2024-06-26 10:36:22,81059.0145,114-klt-qwxg-dzsus,75225-hsft-xushfj-zfcqebql,7722
9421021,Новое,RISK_SHORT,2024-06-26 10:36:22,28829.5242,680-pot-jpxo-ykvbz,24455-pbrn-qnymdo-klotdsbf,2312
9421022,Новое,RISK_SHORT,2024-06-26 10:36:22,31799.7792,482-qbx-agag-xwxwo,83625-jaer-sxgcqc-wfgnzlud,3700
9421023,Новое,RISK_SHORT,2024-06-26 10:36:22,77555.5422,643-tre-sool-ryjac,33159-scfv-nhducx-fsabdlyj,2000
9421025,Новое,RISK_SHORT,2024-06-26 10:36:23,10608.1812,717-gfg-ojuw-hmowv,40520-kyet-kvnarx-kobgrndz,5017
9421026,Новое,RISK_SHORT,2024-06-26 10:36:23,45430.5546,430-whm-xcjx-dnbns,81930-sjow-xfqmbv-lylmnzlf,6900
9421027,Новое,RISK_SHORT,2024-06-26 10:36:24,6282.6467,908-ydz-trjl-tcgon,59497-wwud-mrfgtb-zlpgwsan,5040
